[6 months ago] e1b1c242  PMCORE-2981:[24108]Dynaform: Issue in Datetime field in Grid <fabio>
[6 months ago] 1cf7b5a2  (origin/bugfix/PMCORE-3013) PMCORE-3013: DateTime > setText() helper function does not work <Rodrigo Quelca>
[7 months ago] 208898c3  (origin/feature/PMCORE-2993_B) PMCORE-2993:  Dependent fields improvement: remove the failure alert messages <Rodrigo Quelca>
[7 months ago] fa1db1e8  (origin/bugfix/PMCORE-1456) update <Henry Jordan>
[7 months ago] 09a8da37  PMCORE-1456 <Henry Jordan>
[7 months ago] 189f0d1b  PMCORE-2981:[24108]Dynaform: Issue in Datetime field in Grid <fabio>
[7 months ago] 2b6676dc  (origin/bugfix/PMCORE-1234) PMCORE-1234: Helper setValue is not working properly in view mode <Rodrigo Quelca>
[7 months ago] 066de11e  (origin/bugfix/PMCORE-558) PMCORE-558:[Zendesk - 6764-18320] Hints affect the right alignment in controls <fabio>
[8 months ago] e585c71e  (origin/dependentPromises, origin/bugfix/PMCORE-2806_B) add promisess to dependent fields <Rodrigo Quelca>
[8 months ago] 5c318571  PMCORE-1637 <Henry Jordan>
[8 months ago] aabf9315  (origin/bugfix/PMCORE-2906) PMCORE-2906:  Error with dependent fields <Rodrigo Quelca>
[9 months ago] 260df55c  PMCORE-2830:[23379] Grid functions are not working with dependent fields <fabio>
[9 months ago] 1a35f628  (origin/bugfix/PMCORE-2801) PMCORE-2801 <Henry Jordan>
[9 months ago] e1bad599  (origin/bugfix/PMCORE-2856) PMCORE-2856: Grid control > Required field does not validate after pressing the submit button <Rodrigo Quelca>
[9 months ago] b2f96a55  (origin/bugfix/PMCORE-1636_B) PMCORE-1636: Bug with php files in multiple file upload <Rodrigo Quelca>
[10 months ago] 7a384bf1  PMCORE-1636:Bug with php files in multiple file upload <fabio>
[11 months ago] 957f07eb  PMCORE-2526:Radio control does not update after use "setValue" helper to clean the control <fabio>
[12 months ago] 9cd7e698  (origin/bugfix/PMCORE-2462) PMCORE-2462: Set empty value to Radio buttons is not working <Rodrigo Quelca>
[12 months ago] bcb0702a  (origin/bugfix/PMCORE-2425) PMCORE-2425: Dynaform - Grid Control - Delete button is not working as expected <Rodrigo Quelca>
[1 year ago] 5b664f08  (origin/bugfix/PMCORE-2378) PMCORE-2378: Error opening Dynaform after saving with saveForm () <Rodrigo Quelca>
[1 year, 1 month ago] 7237fd1a  PMCORE-1773:[20214 ] GetValue() method is returning the label instead of the Key for radio fields in Mobile. <fabio>
[1 year, 1 month ago] 731e77a1  (origin/bugfix/PMCORE-1341-A) PMCORE-1341-A <Henry Jordan>
[1 year, 1 month ago] 2073d30c  [20214 ] GetValue() method is returning the label instead of the Key for radio fields in Mobile. <fabio>
[1 year, 1 month ago] 18035a13  PMCORE-1773:[20214 ] GetValue() method is returning the label instead of the Key for radio fields in Mobile. <fabio>
[1 year, 2 months ago] b41c162e  (origin/bugfix/PMCORE-2161) PMCORE-2161: Wrong functionality of the dropdown controls in grid <Rodrigo Quelca>
[1 year, 2 months ago] aa024a7a  PMCORE-1234 <Henry Jordan>
[1 year, 2 months ago] 3728a520  (origin/bugfix/PMCORE-1751) PMCORE-1751 <Andrea Adamczyk>
[1 year, 2 months ago] c580864a  (origin/escapeSelector) escapeSelector methos was created <Rodrigo Quelca>
[1 year, 2 months ago] 7565b8cc  (origin/bugfix/PMCORE-2061) PMCORE-2061 <Henry Jordan>
[1 year, 2 months ago] c2246d87  (origin/feature/PMCORE-2114) PMCORE-2114: Javascript Helper functions for geomap control <Rodrigo Quelca>
