[23 hours ago] 8dc1c48eb5  (origin/bugfix/PMCORE-3512) PMCORE-3512 Any user can claim a case <Roly Rudy Gutierrez Pinto>
[24 hours ago] 7b46e4fbd8  (origin/bugfix/PMCORE-3485) PMCORE-3485 <Andrea Adamczyk>
[24 hours ago] 1401d1aa1e  (origin/bugfix/PMCORE-3512_B) PMCORE-3512: Any user can claim a case <Rodrigo Quelca>
[2 days ago] e5b4ad39f9  (origin/bugfix/PMCORE-3510) PMCORE-3510 <Henry Jordan>
[2 days ago] ce900ad577  (origin/bugfix/PMCORE-3503) PMCORE-3503 <Andrea Adamczyk>
[5 days ago] 43680fec50  (origin/bugfix/PMCORE-3448-A) PMCORE-3448 <Henry Jordan>
[5 days ago] 998eb702cc  (origin/bugfix/PMCORE-3445-b) PMCORE-3445 <Paula Quispe>
[5 days ago] 6a010e3ffa  (origin/bugfix/PMCORE-3422) PMCORE-3422 <Paula Quispe>
[6 days ago] 3830c40a9c  (origin/bugfix/PMCORE-3491-A) PMCORE-3491 <Paula Quispe>
[7 days ago] 1fcfda0f41  (origin/bugfix/PMCORE-3491) PMCORE-3491 <Paula Quispe>
[9 days ago] 6aad46c72f  (origin/bugfix/PMCORE-3451) PMCORE-3451 update level 3 <Henry Jordan>
[12 days ago] 19f9b62b17  (origin/bugfix/PMCORE-3490) PMCORE-3490 Custom Case List is displaying other Processes cases than the one belong to the Report Table of a Process PMCORE_3.7.0-5474 <Roly Gutierrez>
[13 days ago] dc1a28f135  (origin/feature/PMCORE-3458) update <Henry Jordan>
[2 weeks ago] 9072d0fade  (origin/bugfix/PMCORE-3196) PMCORE-3196 CLONAR - [6261] La tarea 'Casos no asignados' en cron no funciona correctamente con 'system_utc_time_zone' habilitado <Roly Gutierrez>
[2 weeks ago] ab1e2708f6  (origin/bugfix/PMCORE-3469) PMCORE-3469 <Andrea Adamczyk>
[2 weeks ago] 68f5ed4956  PMCORE-3431:TASKS > Level 1 or Level 2 the mark position in the left menu is not updated after selecting Data option for a specific process <fabio>
[2 weeks ago] 2b40f5503b  PMCORE-3366 <Henry Jordan>
[2 weeks ago] 3a1daca64f  PMCORE-3451: Task Metrics Level 3 hand doesnt work allowing to navigate withing the nodes PMCORE_3.7.0-5487 <Rodrigo Quelca>
[2 weeks ago] d5f188bbe5  (origin/bugfix/PMCORE-3459) PMCORE-3459: Save Search in the Advanced Search does not update the saved search in the menu when saved PMCORE_3.7.0-5487 <Rodrigo Quelca>
[2 weeks ago] d980cc95b4  PMCORE-3458 <Henry Jordan>
[2 weeks ago] 4ee15e69ef  (origin/bugfix/PMCORE-3461) PMCORE-3461 <Andrea Adamczyk>
[2 weeks ago] a1437c52eb  (origin/bugfix/PMCORE-3450) PMCORE-3450: Task Metrics Level 3 Nodes does not open the Case nor redirect me to the case in the Task List PMCORE_3.7.0-5487 <Rodrigo Quelca>
[2 weeks ago] 365bc5835b  (origin/bugfix/PMCORE-3453) PMCORE-3453: Custon Cases List Settings close the window when saving an invalid Custom List PMCORE_3.7.0-5487 <Rodrigo Quelca>
[2 weeks ago] 6309e8894a  PMCORE-3456:Advanced Search Clear Order does not dissapear after being clicked PMCORE_3.7.0-5487 <Fabio Guachalla>
[2 weeks ago] 309e53b513  PMCORE-3445 <Paula Quispe>
[2 weeks ago] b39d8ed32d  PMCORE-3336:If the process has symbols (such as _ or -) it is not found when trying to start it from "+ new case" <fabio>
[2 weeks ago] 63e166f73e  (origin/bugfix/PMCORE-3449) PMCORE-3449 <Andrea Adamczyk>
[2 weeks ago] e7c98b3590  (origin/bugfix/PMCORE-3448) PMCORE-3448 <Henry Jordan>
[2 weeks ago] 9f2fec733a  (origin/bugfix/PMCORE-3446-A) PMCORE-3446-A Custo Case List Labels should be displayed as the labels defined in the Report Table Build 3.7.0-5474 <Roly Gutierrez>
[2 weeks ago] 9eab460214  (origin/bugfix/PMCORE-3446) PMCORE-3446: usto Case List Labels should be displayed as the labels defined in the Report Table Build 3.7.0-5474 <Rodrigo Quelca>
